Ward No.,Ward Name,Councillor Name,Party Affiliation,Source Year
122,Matiala,Anuradha Sharma,BJP,2022
123,Kakrola,Sudesh Kumar,AAP,2022
124,Nangli Sakrawati,Savita,BJP,2022
125,Chhawala,Shashi Yadav,BJP,2022
126,Isapur,Meena Devi,Independent,2022
127,Najafgarh,Amit Kharkhari,BJP,2022
128,Dichaon Kalan,Rekha Rani,BJP,2025
129,Roshan Pura,Devender,BJP,2022
130,Dwarka-C,Sunita,AAP,2022
131,Bijwasan,Jaivir Singh Rana,BJP,2022
132,Kapashera,Aarti Yadav,AAP,2022
133,Mahipalpur,Inderjeet Sehrawat,BJP,2022
134,Raj Nagar,Poonam Bhardwaj,AAP,2022
135,Palam,Seema Pandit,BJP,2022
136,Madhu Vihar,Sushma Rathee,BJP,2022
137,Mahavir Enclave,Ajay Kumar Rai,AAP,2022
138,Sadh Nagar,Inder Kaur,BJP,2022
139,Naraina,Rajan Arora,AAP,2025
140,Inder Puri,Jyoti Gautam,AAP,2022
141,Rajinder Nagar,Arti Chawla,AAP,2022
142,Daryaganj,Sarika Chaudhary,AAP,2022
143,Sidhartha Nagar,Sonali,BJP,2022
144,Lajpat Nagar,Arjun Pal Singh Marwah,BJP,2022
145,Andrews Ganj,Anita Baisoya,AAP,2022
146,Amar Colony,Sharad Kapoor,BJP,2022
147,Kotla Mubarakpur,Kusum Lata,BJP,2022
148,Hauz Khas,Kamal Bhardwaj,AAP,2022
149,Malviya Nagar,Leena Kumar,AAP,2022
150,Green Park,Sarita Phogaat,AAP,2022
151,Munirka,Raj Bala Tokas,AAP,2022
152,R.K. Puram,Dharamvir Singh,AAP,2022
153,Vasant Vihar,Himani Jain,AAP,2022
154,Lado Sarai,Rajeev Sansanwal,AAP,2022
155,Mehrauli,Rekha Mahender Chaudhary,AAP,2022
156,Vasant Kunj,Jagmohan Mehlawat,BJP,2022
157,Aya Nagar,Ved Pal Sheetal Chaudhary,INC,2022
158,Bhati,Sunder Singh,AAP,2022
159,Chhatarpur,Pinky Tyagi,AAP,2022
160,Said-Ul-Ajaib,Umed Singh,AAP,2022
161,Deoli,Anita,BJP,2022
162,Tigri,Jyoti Prakash Jarwal,AAP,2022
163,Sangam Vihar-A,Suresh Choudhary,INC,2025
164,Dakshin Puri,Ram Swaroop,AAP,2025
165,Madangir,Geeta,AAP,2022
166,Pushp Vihar,Arun Navariya,AAP,2022
167,Khanpur,Mamta Yadav,BJP,2022
168,Sangam Vihar-C,Pankaj Gupta,AAP,2022
169,Sangam Vihar-B,Kajal Singh,AAP,2022
170,Tughlakabad Ext,Bhagbir,AAP,2022
171,Chitaranjan Park,Ashu Thakur,AAP,2022
172,Chirag Delhi,Krishan Jakhar,AAP,2022
173,Greater Kailash,Anjum Mandal,BJP,2025
174,Sri Niwas Puri,Rajpal Singh,BJP,2022
175,Kalkaji,Yogita Singh,BJP,2022
176,Govind Puri,Chander Prakash,BJP,2022
177,Harkesh Nagar,Mamta,AAP,2022
178,Tughlakabad,Sugandha,AAP,2022
179,Pul Pehladpur,Rakesh Lohia,AAP,2022
180,Badarpur,Manju Devi,AAP,2022
181,Molarband,Hemchand Goel,AAP,2022
182,Meethapur,Guddi Devi,BJP,2022
183,Hari Nagar Ext,Nikhil Chaprana,AAP,2022
184,Jaitpur,Hema,AAP,2022
185,Madanpur Khadar East,Praveen Kumar,AAP,2022
186,Madanpur Khadar West,Braham Singh,BJP,2022
187,Sarita Vihar,Neetu,BJP,2022
188,Abul Fazal Enclave,Ariba Khan,INC,2022
189,Zakir Nagar,Naziya Danish,INC,2022
190,New Ashok Nagar,Sanjeev Kumar Singh,BJP,2022
191,Mayur Vihar Ph-1,Beena,AAP,2022
192,Trilokpuri,Vijay Kumar,AAP,2022
193,Kondli,Munesh,BJP,2022
194,Gharoli,Priyanka Gautam,AAP,2022
195,Kalyanpuri,Dhirender Kumar,AAP,2022
196,Mayur Vihar Ph-2,Devendra Kumar,AAP,2022
197,Patpar Ganj,Renu Chaudhary,BJP,2022
198,Vinod Nagar,Sarala Chaudhari,BJP,2025
199,Mandawali,Shashi Chandna,BJP,2022
200,Pandav Nagar,Yashpal Singh,BJP,2022
201,Lalita Park,Shweta Nigam,AAP,2022
202,Shakarpur,Ram Kishor Sharma,BJP,2022
203,Laxmi Nagar,Alka Raghav,BJP,2022
204,Preet Vihar,Ramesh Kumar Garg,BJP,2022
205,I.P. Extension,Rachna,AAP,2022
206,Anand Vihar,Monika Pant,BJP,2022
207,Vishwas Nagar,Jyoti Rani,AAP,2022
208,Anarkali,Meenakshi Sharma,BJP,2022
209,Jagat Puri,Raju Sachdeva,BJP,2022
210,Geeta Colony,Neemaa Bhagat,BJP,2022
211,Krishna Nagar,Sandeep Kapoor,BJP,2022
